"Section/form","Form objective","Is the section repeatable","Care Record Element","Enterprise Level Business Process","User role","Subset owner/organisation","Specialty","Care setting","Client group","Archetype/Template Id","Version Id","Sign off authority","Copyright","Relationships to other forms","Annotation","Section ID"
"Report","Document to communicate information to others, commonly in response to a request from another party.","No[1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","1"
"Distribution","Details of the target of communication distribution, whether to identified individual parties or as a category.","Yes[0.. *]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","2"
"Individual's personal demographics (UK)","Personal demographics including name(s) , addresse(s) and telecommunication contact details.","Yes[0.. 1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","3"
"Person name","Details of personal name of an individual, provider or third party.","Yes[0.. 1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","4"
"Address","To record details of one or more personal addresses.","Yes[0.. *]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","5"
"Telecom details (UK)","Personal or organisational telecommunication details, including telephone, fax, and email or other telecommunications details e.g skype address.","Yes[0.. *]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","6"
"Special requirements","Special requirements heading  (AoMRC).","No[1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","7"
"Clinical Synopsis","Narrative summary or overview about a patient, specifically from the perspective of a healthcare provider, and with or without associated interpretations.","Yes[0.. 1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","8"
"Patient demographics","Patient demographics heading  (AoMRC).","Yes[0.. 1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","9"
"Key contacts","Key contacts for the patient or client, including formal and informal carers, next of kin and key workers.","Yes[0.. 1]","N/A","N/A","All","Connecting For Health (UK)","All","All","N/A","","v1","Connecting For Health (UK)","Crown Copyright 2009","Y","","10"
