"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"other_context","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-COMPOSITION.report.v1/context/other_context[at0001]","1"
"Date sent","Date that the distribution was sent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.distribution.v1/items[at0006]","2"
"Individual recipient","Distribution details for an individual recipient.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.distribution.v1/items[at0011]","2"
"Recipient identifier","Unique identifier for an individual recipient.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.distribution.v1/items[at0011]/items[at0010]","2"
"Communication mode","The communications mode by which the distribution is to be made.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.distribution.v1/items[at0011]/items[at0003]","2"
"Name type","Type of name described.","No","","Primary","CODED_TEXT","[0..1]","","Registered name; Previous name; Birth name; AKA; Alias; Maiden name; Professional name; Reporting name","","N","","N","","n/a","Yes","Registered name (local::at0020)| Previous name (local::at0008)| Birth name (local::at0009)| AKA (local::at0010)| Alias (local::at0011)| Maiden name (local::at0012)| Professional name (local::at0019)| Reporting name (local::at0021)","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0006]","4"
"Preferred name","Indicates that this is the name by which a person chooses to be identified.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0022]","4"
"Unstructured name","Name in free text unstructured format.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0001]","4"
"Structured name","Name in structured format.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]","4"
"Title","The prefix or title used by the subject.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]/items[at0017]","4"
"Given name","Given / personal / first name.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]/items[at0003]","4"
"Middle name","Middle name or names.","No","","Primary","CODED_TEXT","[0..*]","","","","Y","","N","","n/a","Yes","","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]/items[at0004]","4"
"Family name","Family name or Surname.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]/items[at0005]","4"
"Suffix","Additional term used following a person name.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0002]/items[at0018]","4"
"Validity period","The date interval at which this name was valid.","Yes: Interval","","Primary","INTERVAL","[0..1]","","Upper = Allow all; ; Lower = Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0014]","4"
"Address","One or more adresses for an individual.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]","5"
"Address Type","The type of address.","No","","Primary","CODED_TEXT","[1..1]","","Residential; Correspondence; Business; Temporary","","N","","N","","n/a","Yes","Residential (local::at0011)| Correspondence (local::at0012)| Business (local::at0013)| Temporary (local::at0014)","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0006]","5"
"Unstructured address","A postal address expressed in an unstructured format. ENV 13606 - 4:2000 7.11.15.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0002]","5"
"Structured address","The structure of a postal address representing the residence of a patient or the physical location of an organisation.  ENV 13606-4:2000 7.11.1.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0003]","5"
"Property number","The number of the property.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0003]/items[at0005]","5"
"Address line","A series of address lines.","No","","Primary","TEXT","[0..4]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0003]/items[at0009]","5"
"Post code","Post code.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0004]","5"
"AddressValid Period","The period during which the associated address is applicable to the person / organisation.  ENV 13606 - 4:2000 7.11.11.  This describes the actual period.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0015]","5"
